EpRet,EpLen,LossQ,Q1Vals,Q2Vals,LossPi,LogPi,TestEpRet,TestEpLen,Epoch,Total_Steps
-5.516253118622981,16,8.31434154510498,15.492443,15.342949,-16.831804275512695,-6.7894816,-5.301173629393946,48,1,3999
-7.828750801728275,12,15.792219161987305,20.99577,21.493227,-22.5142822265625,-5.932771,-43.66164860315695,586,2,7999
-81.04275718235327,916,16.136884689331055,22.933205,23.327465,-24.846147537231445,-4.9496436,-5.811756876566432,65,3,11999
-54.38892957267234,1000,12.629656791687012,30.293613,29.787687,-30.815736770629883,-3.6029212,-42.102221260192664,1000,4,15999
-22.79247428945488,1000,15.203879356384277,36.13666,35.451485,-36.74485397338867,-3.8008146,-35.40401065678146,1000,5,19999
0.3138694485970517,1000,12.097209930419922,40.771347,40.904675,-41.84370422363281,-3.605081,-6.750122859536189,1000,6,23999
15.069006328104532,389,12.511772155761719,43.61521,43.639492,-45.076175689697266,-2.7123802,38.997692616046784,1000,7,27999
21.178937527241327,1000,13.90004825592041,45.87751,45.95658,-47.70616912841797,-3.3196607,65.29425012630327,1000,8,31999
51.857702012768506,1000,18.073078155517578,52.45745,51.836117,-53.530799865722656,-3.111208,82.5734099773153,1000,9,35999
81.18320083170613,1000,14.722752571105957,54.632835,54.37339,-55.34153366088867,-2.6793308,95.49356313449988,1000,10,39999
81.57529656570068,1000,19.56403350830078,56.64259,56.579693,-56.94915771484375,-3.0273275,133.03751150624967,1000,11,43999
140.9605021321085,1000,49.26555633544922,61.11945,60.706764,-61.82991027832031,-2.9295292,123.25226718722068,1000,12,47999
194.57701448536903,1000,11.112373352050781,61.235,61.063774,-62.09579849243164,-2.6471524,196.7549405569486,1000,13,51999
248.53173385864372,1000,10.271390914916992,65.093216,65.09957,-66.27525329589844,-3.446365,191.95320881242475,1000,14,55999
237.55586695040105,1000,18.898035049438477,64.77998,63.836372,-65.1129379272461,-2.9175444,213.17226071093557,1000,15,59999
295.715613597247,1000,21.159584045410156,66.339836,66.36955,-67.75763702392578,-2.2585094,281.9114689740579,1000,16,63999
356.1424042299485,1000,11.8764066696167,72.82439,72.39792,-73.4071273803711,-2.5018804,295.1033309582841,839,17,67999
344.0716745764891,1000,12.792997360229492,74.10657,74.17496,-74.93917846679688,-2.6102953,372.4501612736966,1000,18,71999
380.6006422185728,1000,15.777020454406738,75.17458,75.36165,-76.59178161621094,-2.7129717,231.95988589309653,504,19,75999
447.39792879447407,1000,12.204741477966309,77.98236,78.180084,-79.465087890625,-1.47648,251.02302720612104,575,20,79999
484.60638380555116,1000,12.143179893493652,78.63162,78.93768,-79.62051391601562,-2.230596,490.0422537377348,1000,21,83999
489.1013241042406,1000,11.69675350189209,80.51749,80.69861,-81.68901824951172,-2.4073002,509.70182190850056,1000,22,87999
525.2878205352453,1000,15.938720703125,78.9777,78.88452,-80.27320098876953,-2.0874314,492.9504858653187,1000,23,91999
525.0763528358762,1000,14.321172714233398,84.43987,83.923035,-84.78794860839844,-1.5602702,574.0113881537682,1000,24,95999
540.3835822117255,1000,17.06478500366211,81.41139,81.36977,-82.45940399169922,-2.153552,500.3069838481386,1000,25,99999
561.1358715558305,1000,16.78201675415039,80.19538,80.05262,-81.07249450683594,-1.9071373,558.013043082594,1000,26,103999
565.5377583088926,1000,11.006574630737305,82.942314,82.47605,-83.67598724365234,-1.4776684,557.6225504326145,1000,27,107999
580.8807922211472,1000,11.952276229858398,81.90858,82.07489,-83.05805206298828,-1.5495415,565.384638573015,1000,28,111999
558.2311957743441,1000,10.68994140625,80.329025,80.32724,-81.26116180419922,-1.6351786,580.1079310807355,1000,29,115999
610.9688313375101,1000,11.036459922790527,81.558304,81.26407,-82.46188354492188,-1.6116576,559.715045690555,934,30,119999
584.5291392511308,1000,10.314596176147461,82.3585,82.035446,-83.4867935180664,-1.6296955,613.5877715233117,1000,31,123999
601.952075198225,1000,11.010738372802734,81.9122,81.59118,-83.24299621582031,-1.9306016,600.0439093577122,1000,32,127999
620.3141955821504,1000,7.6174468994140625,82.931564,83.59748,-84.10520935058594,-1.9498215,637.7500480874211,1000,33,131999
613.3311899976426,1000,8.006752014160156,82.46027,82.186806,-83.27843475341797,-1.455949,611.830659333653,1000,34,135999
634.0558692436907,1000,7.309831619262695,82.07965,82.209015,-82.84767150878906,-2.3052273,642.1024586327676,1000,35,139999
617.3988426513156,1000,8.89556884765625,77.32253,77.63547,-78.59587097167969,-2.0611908,626.2115725907098,1000,36,143999
609.5225930273381,1000,11.023683547973633,78.80947,78.833275,-79.51663970947266,-1.5653154,646.6189700822397,1000,37,147999
645.0783851680106,1000,9.033409118652344,77.86695,77.47544,-78.88227081298828,-2.18474,634.7689242367699,1000,38,151999
638.5782707453277,1000,6.813093662261963,80.69986,80.29273,-80.88754272460938,-1.8453728,644.615870003703,1000,39,155999
636.5186687450896,1000,8.193111419677734,77.86261,78.03717,-78.84364318847656,-2.0415773,657.9117559750308,1000,40,159999
638.6243244920942,1000,8.834795951843262,78.356415,78.39949,-79.4350357055664,-2.1183362,622.3433314421742,1000,41,163999
643.1981017260803,1000,6.4746904373168945,80.86771,80.35933,-81.30377960205078,-2.225832,658.2264281068115,1000,42,167999
648.1052745321944,1000,7.6939287185668945,79.56814,79.13026,-80.47216796875,-1.7174017,650.5158089142122,1000,43,171999
651.9902694353598,1000,6.5382513999938965,82.08767,82.13709,-83.1518325805664,-2.0996766,639.9678342014736,1000,44,175999
655.4718001245595,1000,5.267253875732422,78.46695,79.34586,-80.18915557861328,-1.3864913,679.1007088201317,1000,45,179999
634.8189356301723,1000,8.062515258789062,80.62419,80.76927,-81.62954711914062,-2.5083468,668.1082137325853,1000,46,183999
643.699774256708,1000,5.74775505065918,81.55149,81.1673,-82.78156280517578,-1.3853639,640.0110209901825,1000,47,187999
668.9482755299509,1000,8.000614166259766,79.82276,79.2893,-81.13018035888672,-1.9061486,664.5644102530167,1000,48,191999
666.519518199452,1000,8.548891067504883,79.80323,79.4913,-80.75286102294922,-2.092277,672.0636296925318,1000,49,195999
657.3666674025093,1000,7.374682903289795,82.70127,82.80134,-83.41941833496094,-1.7053251,663.6078372339498,1000,50,199999
665.6034057360357,1000,5.282768249511719,81.268654,81.20642,-82.07083892822266,-2.2719364,663.9570926903983,1000,51,203999
661.0556799194139,1000,11.034727096557617,80.59992,80.82784,-81.92189025878906,-2.5086555,643.8826913284735,1000,52,207999
677.2242104888888,1000,8.23514175415039,84.15015,84.42377,-84.95441436767578,-2.1497047,655.7144984302165,1000,53,211999
664.4103989403002,1000,5.115602493286133,85.6538,85.95472,-86.17803192138672,-2.2863517,645.4312674206229,1000,54,215999
678.1314120982822,1000,11.620335578918457,80.35319,80.18698,-81.08537292480469,-2.1374564,680.491880411634,1000,55,219999
669.4585709038898,1000,6.423405647277832,82.70352,82.85337,-83.521240234375,-2.4442563,673.0507417374324,1000,56,223999
