VVals,EpRet,EpLen,StopIter,LossPi,LossV,KL,ClipFrac,Entropy,DeltaLossPi,DeltaLossV,Epoch,Total_Steps
-0.40186697,-1.1002653095844823,2,1,-2.6702881683604573e-08,3.5189836025238037,0.017637595534324646,0.257750004529953,0.9189382791519165,-0.02868058097362436,-3.070727974176407,0,4000
-3.605874,-7.0612964072023,7,2,2.479553273815327e-08,3.3386218547821045,0.02441885508596897,0.35750001668930054,0.9188883900642395,-0.032774845719337975,-2.9949591159820557,1,8000
0.30197328,-10.462831078782703,15,2,-2.6702881683604573e-08,2.6709673404693604,0.01721162535250187,0.26750001311302185,0.9188856482505798,-0.026265553504227768,-2.479496195912361,2,12000
-1.8096365,-12.453383455046852,15,2,-2.8610229740877458e-09,2.183032989501953,0.02239888533949852,0.25175002217292786,0.9188432693481445,-0.02021047373116014,-2.040312707424164,3,16000
-2.7870328,-2.328026531482246,5,3,-7.629394893626795e-09,2.344308614730835,0.018136484548449516,0.3707500100135803,0.9186693429946899,-0.022471112951635952,-2.2504250183701515,4,20000
-0.62259763,-5.336406500129454,4,3,2.2888183792701966e-08,2.360191583633423,0.023350145667791367,0.26225000619888306,0.9183822870254517,-0.02525424265861531,-2.3041319474577904,5,24000
-2.697373,-7.4918373455776095,8,3,2.8610229740877458e-09,2.545565366744995,0.015238380059599876,0.2902500033378601,0.9181388020515442,-0.02248335729539397,-2.5099382288753986,6,28000
-2.091337,-2.2723443116652913,5,3,1.0490418311803751e-08,2.2609875202178955,0.018909940496087074,0.2835000157356262,0.9179677367210388,-0.021055818781257507,-2.23782098852098,7,32000
-1.0752279,-6.023213268100092,9,3,1.6212464259979242e-08,2.0445525646209717,0.022750763222575188,0.32325002551078796,0.9177586436271667,-0.023347814947367596,-2.0267606861889362,8,36000
-1.4660902,-9.767665153623566,9,3,2.3841859597695247e-09,2.230666399002075,0.019584335386753082,0.27775001525878906,0.9174802899360657,-0.016724924147129228,-2.216830203309655,9,40000
0.016246714,-5.756197243206396,10,4,-2.813339428087147e-08,2.4029557704925537,0.01719575934112072,0.32200002670288086,0.9171604514122009,-0.02472284044325157,-2.3913923911750317,10,44000
-1.4215164,-3.3304973839120433,9,5,-1.525878978725359e-08,2.4906668663024902,0.018922913819551468,0.33900001645088196,0.916698157787323,-0.02860729174315857,-2.4825566932559013,11,48000
-0.8914052,-7.033109271051828,13,3,1.525878978725359e-08,2.8447256088256836,0.021829545497894287,0.22850000858306885,0.9159687161445618,-0.022478428095579872,-2.836501241661608,12,52000
0.07218949,-6.348317846027978,11,4,-2.3841858265427618e-08,2.4999303817749023,0.01607801578938961,0.2900000214576721,0.9155307412147522,-0.026984120160340908,-2.4946035775355995,13,56000
-1.2982122,-4.567617015615712,12,3,-3.433227746540979e-08,2.514899969100952,0.017867829650640488,0.21900001168251038,0.9149847030639648,-0.0213777321726063,-2.5047523276880383,14,60000
-3.744671,-13.096565140546259,18,4,-5.7220459481754915e-09,2.2838711738586426,0.015381734818220139,0.2955000102519989,0.914598286151886,-0.023511212185025165,-2.2785971793346107,15,64000
-3.9317873,-2.6645998647557523,5,4,-1.907348723406699e-09,2.6916654109954834,0.021729737520217896,0.32350000739097595,0.9141720533370972,-0.02579925763607016,-2.684647799935192,16,68000
-2.6278791,-4.48716649496587,6,4,-0.0,2.4938602447509766,0.02345125377178192,0.32875001430511475,0.9138339757919312,-0.02626151405274868,-2.4888073010370135,17,72000
-1.8391824,-2.1901699950526563,5,4,-1.907348723406699e-09,2.1523385047912598,0.023345671594142914,0.34150001406669617,0.9135120511054993,-0.025396028488874345,-2.1470806901343167,18,76000
-2.6811197,-5.019507252563739,5,3,-5.531311231266045e-08,1.9774888753890991,0.015728015452623367,0.22050000727176666,0.9130470156669617,-0.023379279866812652,-1.9731848817318678,19,80000
-0.46227694,-1.9231469260013982,6,3,-1.907348723406699e-09,2.016453266143799,0.017396390438079834,0.24125000834465027,0.9126943349838257,-0.02005779179930678,-2.005631862208247,20,84000
-1.0374849,-2.3846724228264327,7,3,-3.051757957450718e-08,2.0929787158966064,0.017525436356663704,0.25850000977516174,0.9123067855834961,-0.02160693447291706,-2.087625342886895,21,88000
-2.0340526,-9.590921954935887,9,3,1.3351440841802287e-08,2.085979700088501,0.015458901412785053,0.2692500054836273,0.9118704199790955,-0.02169806168973487,-2.0619772616773844,22,92000
-1.0866412,-6.442329764491278,12,3,-2.574920721087892e-08,2.2540388107299805,0.02514541707932949,0.2915000021457672,0.9114128947257996,-0.0177042599320405,-2.247287107165903,23,96000
0.085178226,-5.3444608828646825,9,3,-1.1444091896350983e-08,1.9947680234909058,0.02388801984488964,0.3005000054836273,0.9109801054000854,-0.018025321617722412,-1.989006044343114,24,100000
-3.6707044,-2.3315019425345014,4,3,-3.051757957450718e-08,2.0919761657714844,0.02039756067097187,0.2617500126361847,0.9105808734893799,-0.017310078471897583,-2.0852303355932236,25,104000
-2.3340952,-3.330411902951373,4,3,2.6702881683604573e-08,1.9177393913269043,0.015868976712226868,0.2657500207424164,0.9101678133010864,-0.02076436269283377,-1.9109776145778596,26,108000
-0.8798159,-1.4222459628986273,3,3,-1.9073487678156198e-08,2.1981680393218994,0.015026310458779335,0.21400001645088196,0.9097281694412231,-0.018000322878359398,-2.1914306855760515,27,112000
-2.4498036,-2.100024685188206,4,3,3.2424928519958485e-08,2.0105154514312744,0.016231685876846313,0.2722500264644623,0.9092934727668762,-0.024947584435345505,-2.001750540919602,28,116000
-1.8110946,-5.777231717514284,10,3,-7.629394893626795e-09,1.7588731050491333,0.015677466988563538,0.2237500101327896,0.9088800549507141,-0.016767319113015766,-1.7535134400241077,29,120000
-3.1337864,-3.794625899139734,10,3,-4.7683716530855236e-08,2.021441698074341,0.018006691709160805,0.23900000751018524,0.9084199070930481,-0.02257322221994329,-2.0124176861718297,30,124000
-1.6751311,-15.885803248791289,18,3,-3.52859501617786e-08,1.7717605829238892,0.015092215500772,0.26875001192092896,0.9079940319061279,-0.01935261125862553,-1.7662475369870663,31,128000
-1.2276224,-1.7491148940559695,4,3,-7.629394893626795e-09,1.7410738468170166,0.015477512963116169,0.25075000524520874,0.9076409935951233,-0.01921903324127161,-1.734865634702146,32,132000
-1.9511522,-2.8780257066263646,5,3,-0.0,1.5145161151885986,0.015118536539375782,0.25050002336502075,0.907261848449707,-0.02160285785794258,-1.5088432086631656,33,136000
-1.2014056,-3.028210877244324,6,3,3.814697446813398e-09,1.542505145072937,0.01799142174422741,0.24825000762939453,0.9069713354110718,-0.02057632626593131,-1.5363448937423527,34,140000
-0.4082994,-9.538214037289187,14,3,1.525878978725359e-08,1.5007236003875732,0.018385598435997963,0.26225000619888306,0.9066581726074219,-0.021412069335580597,-1.4901135442778468,35,144000
-2.3672519,-6.152380216118302,9,3,-2.6226045335420167e-08,1.582335114479065,0.018652252852916718,0.25,0.9062841534614563,-0.020501192510126387,-1.574920677114278,36,148000
-0.78165394,-2.4680541122939967,7,3,2.717971980814582e-08,1.489072561264038,0.01823713816702366,0.25550001859664917,0.9058383703231812,-0.02100200316310108,-1.468522496521473,37,152000
0.3428674,-0.9818763988763155,2,4,-2.8610230629055877e-08,1.5131133794784546,0.02097422443330288,0.3212500214576721,0.905402660369873,-0.024356759414075668,-1.5045321816578507,38,156000
0.064723015,-5.6400571584360275,9,3,-1.525878978725359e-08,1.6062283515930176,0.01751335710287094,0.25425001978874207,0.9048411250114441,-0.02157925964891838,-1.5964758349582553,39,160000
0.07192537,-15.119966883394031,12,3,3.5524369224049224e-08,1.5849512815475464,0.020022744312882423,0.2785000205039978,0.9043977856636047,-0.019678101077676757,-1.5752329090610147,40,164000
-1.9522339,-10.30452067007396,18,4,4.1961673247215003e-08,1.4671670198440552,0.018079297617077827,0.2970000207424164,0.9038954973220825,-0.02436352619529103,-1.4593186881393194,41,168000
-0.9985104,-1.481073670664336,3,3,5.912781020356306e-08,1.6323213577270508,0.016305401921272278,0.2302500158548355,0.9033162593841553,-0.023036276444795334,-1.6230183262377977,42,172000
-1.7232971,-4.583431475437756,8,4,-2.3841858265427618e-08,1.5311558246612549,0.017925232648849487,0.32075002789497375,0.9029298424720764,-0.027915954962372425,-1.5235728821717203,43,176000
-0.3442152,-1.6326250913574647,5,4,-5.2452090670840334e-08,1.4946422576904297,0.021228602156043053,0.2822500169277191,0.9024413824081421,-0.028358725532886098,-1.4863128829747438,44,180000
-1.7369711,-2.3156374033555034,9,4,1.907348723406699e-09,1.3486499786376953,0.020077383145689964,0.289000004529953,0.901867151260376,-0.02634496246278295,-1.3411484705284238,45,184000
0.058734998,-10.01210269917844,15,3,2.6702881683604573e-08,1.4023040533065796,0.0190372783690691,0.23375001549720764,0.9013895392417908,-0.02546509045362555,-1.3945907750166953,46,188000
0.061162367,-1.3288154145382265,4,3,-0.0,1.1986877918243408,0.017961999401450157,0.28125,0.9011547565460205,-0.022861676290631294,-1.185508488677442,47,192000
-0.79959357,-9.575108748166567,7,3,1.8596649553614952e-08,1.1417661905288696,0.026023464277386665,0.296750009059906,0.9009217023849487,-0.02146364745497742,-1.1344383438117802,48,196000
-1.6370736,-1.4340689981625514,3,4,3.623962641086109e-08,1.1492959260940552,0.022642305120825768,0.34175002574920654,0.9006152153015137,-0.02496593716740847,-1.1415296480990946,49,200000
-1.0464647,-5.3684988946925,6,3,4.863739277993773e-08,1.157827377319336,0.016393037512898445,0.21700000762939453,0.9001166820526123,-0.021938026160004398,-1.1475012181326747,50,204000
-0.272731,-3.9902294687833963,11,3,-1.907348723406699e-09,1.0896706581115723,0.021636411547660828,0.2642500102519989,0.8997239470481873,-0.020291095554828553,-1.0808741245418787,51,208000
-0.94142085,-10.907243724985479,10,3,-2.479553273815327e-08,1.0679407119750977,0.01753407157957554,0.2522500157356262,0.8992817401885986,-0.021569376230239357,-1.0585498288273811,52,212000
-2.270677,-4.84574462576182,6,3,-1.525878978725359e-08,0.9180509448051453,0.019263138994574547,0.25050002336502075,0.8988280892372131,-0.022168812915682068,-0.9100189255550504,53,216000
-0.35823125,-1.441872716044628,5,3,4.482269488903512e-08,0.8964995741844177,0.022383445873856544,0.2580000162124634,0.8984083533287048,-0.021942483380438915,-0.8881844896823168,54,220000
0.044114545,-1.254178357720443,4,4,-7.247925282172218e-08,0.9119529128074646,0.02254563942551613,0.35325002670288086,0.8980234265327454,-0.027594950214023584,-0.9015911584720016,55,224000
-1.5133816,-10.690919943566286,9,3,4.673004383448642e-08,0.9910247921943665,0.018825223669409752,0.23875001072883606,0.8974168300628662,-0.023229729548098987,-0.9805294116958976,56,228000
-0.79433036,-5.804480485090792,7,3,8.177757848670808e-08,0.9954662322998047,0.02007235400378704,0.27125000953674316,0.8969292044639587,-0.021346455261117114,-0.9859142350032926,57,232000
-0.99282944,-1.1587479779667973,4,3,3.290176664449973e-08,0.9296020865440369,0.018148008733987808,0.2667500078678131,0.8964690566062927,-0.021316989630463468,-0.9165353272110224,58,236000
-0.21645404,-3.554857888423032,5,3,5.7220461258111754e-08,0.8373983502388,0.024848995730280876,0.2760000228881836,0.8959811329841614,-0.022527241557838806,-0.8277470078319311,59,240000
